Name,RO5_violations,Smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,NumRadicalElectrons,NumValenceElectrons,FP1,FP2,FP3,HeavyAtomMolWt,pIC50
CHEMBL294753,2,CC(C)(C)c1ccc(-c2csc(-c3ccc(S(=O)(=O)Nc4ccc(CCNC[C@H](O)c5cccnc5)cc4)cc3)n2)cc1,intermediate,612.821,6.8361,3,7,0,222,0.906976744,1.604651163,2.255813953,576.533,5.795880017
CHEMBL293994,2,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc(F)c(F)c3)cs2)cc1,intermediate,592.693,5.8168,3,7,0,210,0.926829268,1.682926829,2.390243902,566.485,5.769551079
CHEMBL299175,0,COc1cc(CC2NCCc3cc(O)c(O)cc32)cc(OC)c1OC,active,345.395,2.5531,3,6,0,134,0.96,1.6,2.2,322.211,8.214670165
CHEMBL9434,0,c1ccc(N2CCNCC2)cc1,inactive,162.236,1.0962,1,2,0,64,1,1.666666667,2.333333333,148.124,4.721246399
CHEMBL57486,1,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,intermediate,539.702,4.4499,5,6,0,204,0.947368421,1.684210526,2.368421053,502.406,5.096910013
CHEMBL54885,0,CNC(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,inactive,331.397,2.1893,2,3,0,120,1.130434783,1.869565217,2.565217391,314.261,4
CHEMBL284782,0,C[C@H](Cc1ccc(OCC(=O)O)cc1)NC[C@H](O)c1cccc(Cl)c1,intermediate,363.841,3.0576,3,4,0,134,1.24,1.96,2.6,341.665,5.301029996
CHEMBL299719,1,CCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,active,435.593,5.6994,1,4,0,162,0.967741935,1.806451613,2.612903226,406.361,6.045757491
CHEMBL468176,1,Fc1ccc(-c2noc(C3CCN(c4cnc5ccc(Cl)cc5c4)CC3)n2)c(Cl)c1,inactive,443.309,6.1147,0,5,0,152,1.033333333,1.866666667,2.666666667,426.173,4.301029996
CHEMBL431048,2,CS(=O)(=O)Nc1cc(OC[C@@H](O)CNCC2CCN(S(=O)(=O)c3ccc(NC(=O)NCc4cc(F)ccc4F)cc3)CC2)ccc1O,intermediate,697.783,2.7938,6,9,0,256,1.021276596,1.723404255,2.404255319,660.487,5.210701389
CHEMBL350432,0,CS(=O)(=O)Nc1ccc(C(=O)NCC2CN(c3cccc(Cl)c3)CCN2)cc1,intermediate,422.938,1.9197,3,5,0,150,1.25,2,2.678571429,399.754,5.958607315
CHEMBL34441,1,CS(=O)(=O)Nc1ccc(Cc2nc(-c3ccc(S(=O)(=O)Nc4ccc(CCNC[C@H](O)c5cccnc5)cc4)cc3)no2)cc1,intermediate,648.767,3.7604,4,10,0,234,0.844444444,1.511111111,2.155555556,616.511,5.698970004
CHEMBL1193886,0,CS(=O)(=O)Nc1ccc(OC[C@@H](O)CNCCOc2ccc(-n3ccnc3)cc2)cc1,intermediate,446.529,1.6521,3,8,0,166,1.064516129,1.741935484,2.387096774,420.321,5.795880017
CHEMBL38254,2,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2cnc(CCC3CCCC3)o2)cc1,intermediate,560.72,5.5259,3,7,0,210,0.975,1.75,2.475,524.432,5.318758763
CHEMBL307647,1,COc1c(I)cc(CC2NCCc3nc(N)sc32)cc1I,active,527.169,3.3726,2,5,0,112,1.428571429,2.142857143,2.80952381,512.049,6.107905397
CHEMBL291594,2,CC(=O)Nc1ccc(-c2csc(-c3ccc(S(=O)(=O)Nc4ccc(CCNC[C@H](O)c5cccnc5)cc4)cc3)n2)cc1,active,613.765,5.497,4,8,0,220,0.930232558,1.627906977,2.302325581,582.517,6.017728767
